EventID,InterfaceID,SourceSystem,TargetSystem,Middleware,Pattern,Status,ErrorCode,ErrorText,RootCauseClass,Latency_ms,SessionID,RequestID,Timestamp
EVT_000001,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_NET_002,Network error contacting PRC: connection reset,Network,2828,SES_000001,REQ_00000001,2026-09-15 08:47:17
EVT_000002,IF_PRC_001,PRC,MFG,ESB,SOAP,Warning,PRC_CFG_003,"WARNING: Configuration mismatch on PRC endpoint (degraded, retrying)",Configuration,2336,SES_000001,REQ_00000002,2026-09-15 08:47:34
EVT_000003,IF_PRC_001,PRC,MFG,ESB,SOAP,Failed,PRC_DB_004,Database PRC operation failed: connection pool exhausted,Database,3062,SES_000002,REQ_00000003,2026-09-15 15:26:14
EVT_000004,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_AUTHZ_005,Authorization denied for ORD->MFG request,Authorization,997,SES_000003,REQ_00000004,2026-09-12 09:48:21
EVT_000005,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_CAP_006,Capacity limit reached on PAY: request throttled,Capacity,1028,SES_000004,REQ_00000005,2026-09-15 13:07:59
EVT_000006,IF_ORD_002,ORD,PAY,API,REST,Failed,ORD_CFG_007,Configuration mismatch on ORD endpoint,Configuration,1013,SES_000004,REQ_00000006,2026-09-15 13:10:29
EVT_000007,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_AUTH_008,Authentication rejected between PAY and ORD,Authentication,881,SES_000005,REQ_00000007,2026-09-13 15:23:10
EVT_000008,IF_ORD_002,ORD,PAY,API,REST,Warning,ORD_AUTH_009,"WARNING: Authentication rejected between ORD and PAY (degraded, retrying)",Authentication,873,SES_000005,REQ_00000008,2026-09-13 15:24:35
EVT_000009,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_DB_010,Database ASM operation failed: connection pool exhausted,Database,5323,SES_000006,REQ_00000009,2026-09-14 10:20:53
EVT_000010,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_TMO_011,"WARNING: Timeout waiting for ASM to respond (degraded, retrying)",Timeout,3811,SES_000006,REQ_00000010,2026-09-14 10:25:10
EVT_000011,IF_DLV_002,DLV,PAY,MsgBus,Async,Failed,DLV_CFG_012,Configuration mismatch on DLV endpoint,Configuration,6264,SES_000007,REQ_00000011,2026-09-14 10:37:27
EVT_000012,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_NET_013,Network error contacting MFG: connection reset,Network,3327,SES_000008,REQ_00000012,2026-09-16 08:40:10
EVT_000013,IF_MFG_002,MFG,PRC,API,REST,Failed,MFG_VAL_014,Validation failed for payload from MFG,Validation,3452,SES_000009,REQ_00000013,2026-09-12 21:55:00
EVT_000014,IF_PRC_001,PRC,MFG,ESB,SOAP,Warning,PRC_AUTH_015,"WARNING: Authentication rejected between PRC and MFG (degraded, retrying)",Authentication,1616,SES_000009,REQ_00000014,2026-09-12 21:56:22
EVT_000015,IF_PRC_002,PRC,ASM,MsgBus,Async,Failed,PRC_AUTH_016,Authentication rejected between PRC and ASM,Authentication,1862,SES_000009,REQ_00000015,2026-09-12 21:59:21
EVT_000016,IF_PRC_002,PRC,ASM,MsgBus,Async,Warning,PRC_VAL_017,"WARNING: Validation failed for payload from PRC (degraded, retrying)",Validation,1552,SES_000010,REQ_00000016,2026-09-11 09:48:10
EVT_000017,IF_DLV_001,DLV,ORD,API,REST,Failed,DLV_CFG_018,Configuration mismatch on DLV endpoint,Configuration,1917,SES_000011,REQ_00000017,2026-09-10 19:56:53
EVT_000018,IF_ORD_004,ORD,DLV,ESB,Batch,Failed,ORD_VAL_019,Validation failed for payload from ORD,Validation,2825,SES_000011,REQ_00000018,2026-09-10 19:58:00
EVT_000019,IF_PRC_002,PRC,ASM,MsgBus,Async,Warning,PRC_CFG_020,"WARNING: Configuration mismatch on PRC endpoint (degraded, retrying)",Configuration,1305,SES_000012,REQ_00000019,2026-09-14 12:13:59
EVT_000020,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_AUTHZ_021,Authorization denied for ORD->MFG request,Authorization,336,SES_000013,REQ_00000020,2026-09-12 12:33:28
EVT_000021,IF_ORD_002,ORD,PAY,API,REST,Warning,ORD_AUTHZ_022,"WARNING: Authorization denied for ORD->PAY request (degraded, retrying)",Authorization,285,SES_000014,REQ_00000021,2026-09-10 07:40:03
EVT_000022,IF_DLV_002,DLV,PAY,MsgBus,Async,Failed,DLV_CFG_023,Configuration mismatch on DLV endpoint,Configuration,3553,SES_000015,REQ_00000022,2026-09-11 13:46:59
EVT_000023,IF_PAY_002,PAY,PRC,API,REST,Warning,PAY_TMO_024,"WARNING: Timeout waiting for PRC to respond (degraded, retrying)",Timeout,7128,SES_000015,REQ_00000023,2026-09-11 13:50:02
EVT_000024,IF_PAY_001,PAY,ORD,API,REST,Warning,PAY_AUTHZ_025,"WARNING: Authorization denied for PAY->ORD request (degraded, retrying)",Authorization,1235,SES_000015,REQ_00000024,2026-09-11 13:47:51
EVT_000025,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_NET_026,Network error contacting PRC: connection reset,Network,2162,SES_000016,REQ_00000025,2026-09-14 12:27:11
EVT_000026,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_CFG_027,Configuration mismatch on ORD endpoint,Configuration,453,SES_000017,REQ_00000026,2026-09-10 15:34:53
EVT_000027,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_EXT_028,"WARNING: External service ASM returned an error response (degraded, retrying)",ExternalService,1655,SES_000017,REQ_00000027,2026-09-10 15:36:19
EVT_000028,IF_ORD_004,ORD,DLV,ESB,Batch,Failed,ORD_TMO_029,Timeout waiting for DLV to respond,Timeout,4470,SES_000018,REQ_00000028,2026-09-13 10:44:46
EVT_000029,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_TMO_030,Timeout waiting for PRC to respond,Timeout,2333,SES_000019,REQ_00000029,2026-09-14 16:03:47
EVT_000030,IF_PRC_002,PRC,ASM,MsgBus,Async,Failed,PRC_CFG_031,Configuration mismatch on PRC endpoint,Configuration,1205,SES_000019,REQ_00000030,2026-09-14 16:04:24
EVT_000031,IF_MFG_001,MFG,ASM,MsgBus,Async,Failed,MFG_CAP_032,Capacity limit reached on MFG: request throttled,Capacity,1447,SES_000020,REQ_00000031,2026-09-14 10:38:02
EVT_000032,IF_ASM_001,ASM,DLV,ESB,Batch,Warning,ASM_AUTH_033,"WARNING: Authentication rejected between ASM and DLV (degraded, retrying)",Authentication,998,SES_000020,REQ_00000032,2026-09-14 10:40:19
EVT_000033,IF_ORD_004,ORD,DLV,ESB,Batch,Failed,ORD_CFG_034,Configuration mismatch on ORD endpoint,Configuration,9141,SES_000021,REQ_00000033,2026-09-10 01:39:36
EVT_000034,IF_DLV_002,DLV,PAY,MsgBus,Async,Warning,DLV_VAL_035,"WARNING: Validation failed for payload from DLV (degraded, retrying)",Validation,2588,SES_000021,REQ_00000034,2026-09-10 01:42:03
EVT_000035,IF_DLV_001,DLV,ORD,API,REST,Warning,DLV_VAL_036,"WARNING: Validation failed for payload from DLV (degraded, retrying)",Validation,809,SES_000021,REQ_00000035,2026-09-10 01:44:08
EVT_000036,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_AUTH_037,Authentication rejected between ASM and DLV,Authentication,1507,SES_000022,REQ_00000036,2026-09-11 10:56:06
EVT_000037,IF_DLV_001,DLV,ORD,API,REST,Failed,DLV_DB_038,Database DLV operation failed: connection pool exhausted,Database,1163,SES_000022,REQ_00000037,2026-09-11 10:58:16
EVT_000038,IF_DLV_002,DLV,PAY,MsgBus,Async,Warning,DLV_AUTHZ_039,"WARNING: Authorization denied for DLV->PAY request (degraded, retrying)",Authorization,2750,SES_000022,REQ_00000038,2026-09-11 10:58:29
EVT_000039,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_NET_040,Network error contacting DLV: connection reset,Network,1114,SES_000023,REQ_00000039,2026-09-12 09:28:35
EVT_000040,IF_PRC_002,PRC,ASM,MsgBus,Async,Failed,PRC_DB_041,Database PRC operation failed: connection pool exhausted,Database,1778,SES_000024,REQ_00000040,2026-09-14 06:23:37
EVT_000041,IF_MFG_002,MFG,PRC,API,REST,Warning,MFG_AUTHZ_042,"WARNING: Authorization denied for MFG->PRC request (degraded, retrying)",Authorization,2772,SES_000025,REQ_00000041,2026-09-16 06:22:13
EVT_000042,IF_ORD_002,ORD,PAY,API,REST,Failed,ORD_INFRA_043,Infrastructure fault on ORD: node unavailable,Infrastructure,2020,SES_000026,REQ_00000042,2026-09-14 16:59:59
EVT_000043,IF_PAY_001,PAY,ORD,API,REST,Warning,PAY_NET_044,"WARNING: Network error contacting ORD: connection reset (degraded, retrying)",Network,1637,SES_000026,REQ_00000043,2026-09-14 17:02:17
EVT_000044,IF_ORD_003,ORD,PRC,ESB,SOAP,Warning,ORD_CFG_045,"WARNING: Configuration mismatch on ORD endpoint (degraded, retrying)",Configuration,717,SES_000027,REQ_00000044,2026-09-11 17:29:22
EVT_000045,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_VAL_046,Validation failed for payload from PAY,Validation,2222,SES_000028,REQ_00000045,2026-09-12 17:49:17
EVT_000046,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_AUTHZ_047,Authorization denied for ORD->MFG request,Authorization,902,SES_000028,REQ_00000046,2026-09-12 17:50:14
EVT_000047,IF_DLV_002,DLV,PAY,MsgBus,Async,Failed,DLV_DB_048,Database DLV operation failed: connection pool exhausted,Database,8598,SES_000029,REQ_00000047,2026-09-14 21:07:24
EVT_000048,IF_ORD_002,ORD,PAY,API,REST,Failed,ORD_AUTHZ_049,Authorization denied for ORD->PAY request,Authorization,818,SES_000030,REQ_00000048,2026-09-15 20:47:42
EVT_000049,IF_PAY_001,PAY,ORD,API,REST,Warning,PAY_AUTH_050,"WARNING: Authentication rejected between PAY and ORD (degraded, retrying)",Authentication,594,SES_000030,REQ_00000049,2026-09-15 20:51:13
EVT_000050,IF_PAY_002,PAY,PRC,API,REST,Failed,PAY_INFRA_051,Infrastructure fault on PAY: node unavailable,Infrastructure,3046,SES_000030,REQ_00000050,2026-09-15 20:50:58
EVT_000051,IF_ORD_002,ORD,PAY,API,REST,Warning,ORD_CAP_052,"WARNING: Capacity limit reached on ORD: request throttled (degraded, retrying)",Capacity,659,SES_000031,REQ_00000051,2026-09-14 17:19:18
EVT_000052,IF_PAY_002,PAY,PRC,API,REST,Warning,PAY_NET_053,"WARNING: Network error contacting PRC: connection reset (degraded, retrying)",Network,3417,SES_000032,REQ_00000052,2026-09-11 13:50:57
EVT_000053,IF_MFG_002,MFG,PRC,API,REST,Failed,MFG_CFG_054,Configuration mismatch on MFG endpoint,Configuration,8913,SES_000033,REQ_00000053,2026-09-10 17:48:15
EVT_000054,IF_MFG_001,MFG,ASM,MsgBus,Async,Failed,MFG_EXT_055,External service ASM returned an error response,ExternalService,2308,SES_000034,REQ_00000054,2026-09-16 07:26:56
EVT_000055,IF_DLV_002,DLV,PAY,MsgBus,Async,Warning,DLV_CFG_056,"WARNING: Configuration mismatch on DLV endpoint (degraded, retrying)",Configuration,1322,SES_000035,REQ_00000055,2026-09-10 18:55:49
EVT_000056,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_TMO_057,Timeout waiting for MFG to respond,Timeout,1494,SES_000036,REQ_00000056,2026-09-10 14:58:54
EVT_000057,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_VAL_058,Validation failed for payload from ASM,Validation,1268,SES_000037,REQ_00000057,2026-09-16 18:39:52
EVT_000058,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_VAL_059,"WARNING: Validation failed for payload from MFG (degraded, retrying)",Validation,1031,SES_000038,REQ_00000058,2026-09-13 10:15:53
EVT_000059,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_INFRA_060,Infrastructure fault on PAY: node unavailable,Infrastructure,440,SES_000039,REQ_00000059,2026-09-15 10:17:21
EVT_000060,IF_ORD_002,ORD,PAY,API,REST,Warning,ORD_TMO_061,"WARNING: Timeout waiting for PAY to respond (degraded, retrying)",Timeout,1111,SES_000039,REQ_00000060,2026-09-15 10:20:51
EVT_000061,IF_ORD_004,ORD,DLV,ESB,Batch,Warning,ORD_CAP_062,"WARNING: Capacity limit reached on ORD: request throttled (degraded, retrying)",Capacity,13925,SES_000039,REQ_00000061,2026-09-15 10:20:58
EVT_000062,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_EXT_063,External service PRC returned an error response,ExternalService,2433,SES_000040,REQ_00000062,2026-09-14 12:00:22
EVT_000063,IF_PRC_001,PRC,MFG,ESB,SOAP,Failed,PRC_EXT_064,External service MFG returned an error response,ExternalService,2963,SES_000041,REQ_00000063,2026-09-11 13:17:27
EVT_000064,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_NET_065,"WARNING: Network error contacting ASM: connection reset (degraded, retrying)",Network,3046,SES_000042,REQ_00000064,2026-09-14 13:58:25
EVT_000065,IF_ASM_001,ASM,DLV,ESB,Batch,Warning,ASM_AUTHZ_066,"WARNING: Authorization denied for ASM->DLV request (degraded, retrying)",Authorization,1363,SES_000042,REQ_00000065,2026-09-14 14:00:15
EVT_000066,IF_ASM_002,ASM,MFG,API,REST,Warning,ASM_NET_067,"WARNING: Network error contacting MFG: connection reset (degraded, retrying)",Network,3733,SES_000042,REQ_00000066,2026-09-14 14:02:02
EVT_000067,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_DB_068,"WARNING: Database MFG operation failed: connection pool exhausted (degraded, retrying)",Database,3049,SES_000043,REQ_00000067,2026-09-10 23:22:14
EVT_000068,IF_ASM_002,ASM,MFG,API,REST,Warning,ASM_NET_069,"WARNING: Network error contacting MFG: connection reset (degraded, retrying)",Network,4178,SES_000043,REQ_00000068,2026-09-10 23:24:18
EVT_000069,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_NET_070,"WARNING: Network error contacting ASM: connection reset (degraded, retrying)",Network,3116,SES_000044,REQ_00000069,2026-09-15 10:23:10
EVT_000070,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_EXT_071,External service MFG returned an error response,ExternalService,3384,SES_000044,REQ_00000070,2026-09-15 10:28:06
EVT_000071,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_CFG_072,Configuration mismatch on ASM endpoint,Configuration,752,SES_000044,REQ_00000071,2026-09-15 10:23:50
EVT_000072,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_DB_073,Database ASM operation failed: connection pool exhausted,Database,3149,SES_000045,REQ_00000072,2026-09-16 15:51:07
EVT_000073,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_EXT_074,External service ORD returned an error response,ExternalService,1940,SES_000046,REQ_00000073,2026-09-14 15:00:54
EVT_000074,IF_PRC_002,PRC,ASM,MsgBus,Async,Warning,PRC_CAP_075,"WARNING: Capacity limit reached on PRC: request throttled (degraded, retrying)",Capacity,1419,SES_000047,REQ_00000074,2026-09-15 09:11:46
EVT_000075,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_NET_076,Network error contacting ORD: connection reset,Network,903,SES_000048,REQ_00000075,2026-09-13 17:37:17
EVT_000076,IF_ORD_001,ORD,MFG,MsgBus,Async,Warning,ORD_INFRA_077,"WARNING: Infrastructure fault on ORD: node unavailable (degraded, retrying)",Infrastructure,552,SES_000049,REQ_00000076,2026-09-14 14:24:21
EVT_000077,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_CFG_078,"WARNING: Configuration mismatch on MFG endpoint (degraded, retrying)",Configuration,552,SES_000049,REQ_00000077,2026-09-14 14:29:07
EVT_000078,IF_MFG_003,MFG,DLV,ESB,CDC,Failed,MFG_CFG_079,Configuration mismatch on MFG endpoint,Configuration,3271,SES_000049,REQ_00000078,2026-09-14 14:28:33
EVT_000079,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_CFG_080,Configuration mismatch on ORD endpoint,Configuration,1059,SES_000050,REQ_00000079,2026-09-13 12:01:05
EVT_000080,IF_PAY_001,PAY,ORD,API,REST,Warning,PAY_AUTH_081,"WARNING: Authentication rejected between PAY and ORD (degraded, retrying)",Authentication,436,SES_000051,REQ_00000080,2026-09-14 11:47:35
EVT_000081,IF_MFG_002,MFG,PRC,API,REST,Failed,MFG_TMO_082,Timeout waiting for PRC to respond,Timeout,3376,SES_000052,REQ_00000081,2026-09-12 09:34:48
EVT_000082,IF_ORD_002,ORD,PAY,API,REST,Failed,ORD_INFRA_083,Infrastructure fault on ORD: node unavailable,Infrastructure,561,SES_000053,REQ_00000082,2026-09-14 10:06:53
EVT_000083,IF_PAY_002,PAY,PRC,API,REST,Warning,PAY_INFRA_084,"WARNING: Infrastructure fault on PAY: node unavailable (degraded, retrying)",Infrastructure,2430,SES_000053,REQ_00000083,2026-09-14 10:11:38
EVT_000084,IF_PRC_001,PRC,MFG,ESB,SOAP,Failed,PRC_INFRA_085,Infrastructure fault on PRC: node unavailable,Infrastructure,2048,SES_000054,REQ_00000084,2026-09-10 17:36:18
EVT_000085,IF_ORD_001,ORD,MFG,MsgBus,Async,Warning,ORD_DB_086,"WARNING: Database ORD operation failed: connection pool exhausted (degraded, retrying)",Database,710,SES_000055,REQ_00000085,2026-09-10 17:25:31
EVT_000086,IF_ASM_001,ASM,DLV,ESB,Batch,Warning,ASM_CAP_087,"WARNING: Capacity limit reached on ASM: request throttled (degraded, retrying)",Capacity,720,SES_000056,REQ_00000086,2026-09-10 22:07:35
EVT_000087,IF_ORD_003,ORD,PRC,ESB,SOAP,Warning,ORD_CAP_088,"WARNING: Capacity limit reached on ORD: request throttled (degraded, retrying)",Capacity,3859,SES_000057,REQ_00000087,2026-09-13 11:37:27
EVT_000088,IF_ORD_002,ORD,PAY,API,REST,Failed,ORD_DB_089,Database ORD operation failed: connection pool exhausted,Database,1100,SES_000058,REQ_00000088,2026-09-12 15:10:15
EVT_000089,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_CFG_090,Configuration mismatch on ASM endpoint,Configuration,1985,SES_000059,REQ_00000089,2026-09-10 10:45:18
EVT_000090,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_INFRA_091,Infrastructure fault on ORD: node unavailable,Infrastructure,1046,SES_000060,REQ_00000090,2026-09-15 17:12:27
EVT_000091,IF_MFG_003,MFG,DLV,ESB,CDC,Failed,MFG_TMO_092,Timeout waiting for DLV to respond,Timeout,2508,SES_000060,REQ_00000091,2026-09-15 17:17:20
EVT_000092,IF_MFG_001,MFG,ASM,MsgBus,Async,Failed,MFG_VAL_093,Validation failed for payload from MFG,Validation,1409,SES_000060,REQ_00000092,2026-09-15 17:15:55
EVT_000093,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_NET_094,Network error contacting ORD: connection reset,Network,827,SES_000061,REQ_00000093,2026-09-14 06:27:47
EVT_000094,IF_DLV_001,DLV,ORD,API,REST,Failed,DLV_INFRA_095,Infrastructure fault on DLV: node unavailable,Infrastructure,1305,SES_000062,REQ_00000094,2026-09-14 20:48:43
EVT_000095,IF_DLV_001,DLV,ORD,API,REST,Warning,DLV_TMO_096,"WARNING: Timeout waiting for ORD to respond (degraded, retrying)",Timeout,1891,SES_000063,REQ_00000095,2026-09-11 23:27:40
EVT_000096,IF_PRC_001,PRC,MFG,ESB,SOAP,Warning,PRC_EXT_097,"WARNING: External service MFG returned an error response (degraded, retrying)",ExternalService,3218,SES_000064,REQ_00000096,2026-09-16 09:26:44
EVT_000097,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_DB_098,Database PAY operation failed: connection pool exhausted,Database,1479,SES_000065,REQ_00000097,2026-09-12 10:07:49
EVT_000098,IF_PRC_001,PRC,MFG,ESB,SOAP,Failed,PRC_DB_099,Database PRC operation failed: connection pool exhausted,Database,1480,SES_000066,REQ_00000098,2026-09-11 13:39:48
EVT_000099,IF_ORD_001,ORD,MFG,MsgBus,Async,Warning,ORD_CFG_100,"WARNING: Configuration mismatch on ORD endpoint (degraded, retrying)",Configuration,694,SES_000067,REQ_00000099,2026-09-13 18:31:07
EVT_000100,IF_MFG_001,MFG,ASM,MsgBus,Async,Failed,MFG_NET_101,Network error contacting ASM: connection reset,Network,4046,SES_000067,REQ_00000100,2026-09-13 18:33:04
EVT_000101,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_TMO_102,Timeout waiting for DLV to respond,Timeout,3693,SES_000068,REQ_00000101,2026-09-13 20:18:32
EVT_000102,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_NET_103,Network error contacting DLV: connection reset,Network,1687,SES_000069,REQ_00000102,2026-09-13 09:38:32
EVT_000103,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_CAP_104,Capacity limit reached on ORD: request throttled,Capacity,1469,SES_000070,REQ_00000103,2026-09-16 13:52:00
EVT_000104,IF_PRC_002,PRC,ASM,MsgBus,Async,Failed,PRC_TMO_105,Timeout waiting for ASM to respond,Timeout,3558,SES_000071,REQ_00000104,2026-09-13 13:22:21
EVT_000105,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_TMO_106,Timeout waiting for MFG to respond,Timeout,4849,SES_000072,REQ_00000105,2026-09-11 14:14:54
EVT_000106,IF_PRC_001,PRC,MFG,ESB,SOAP,Failed,PRC_VAL_107,Validation failed for payload from PRC,Validation,2048,SES_000073,REQ_00000106,2026-09-15 17:41:09
EVT_000107,IF_MFG_001,MFG,ASM,MsgBus,Async,Failed,MFG_DB_108,Database MFG operation failed: connection pool exhausted,Database,2958,SES_000073,REQ_00000107,2026-09-15 17:45:40
EVT_000108,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_CAP_109,Capacity limit reached on ASM: request throttled,Capacity,2731,SES_000074,REQ_00000108,2026-09-15 21:04:30
EVT_000109,IF_PAY_002,PAY,PRC,API,REST,Warning,PAY_TMO_110,"WARNING: Timeout waiting for PRC to respond (degraded, retrying)",Timeout,3969,SES_000075,REQ_00000109,2026-09-16 15:34:24
EVT_000110,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_NET_111,Network error contacting ORD: connection reset,Network,1154,SES_000076,REQ_00000110,2026-09-12 23:47:05
EVT_000111,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_CFG_112,Configuration mismatch on PAY endpoint,Configuration,744,SES_000077,REQ_00000111,2026-09-10 11:03:18
EVT_000112,IF_PAY_001,PAY,ORD,API,REST,Warning,PAY_TMO_113,"WARNING: Timeout waiting for ORD to respond (degraded, retrying)",Timeout,1624,SES_000078,REQ_00000112,2026-09-11 09:39:55
EVT_000113,IF_ORD_004,ORD,DLV,ESB,Batch,Failed,ORD_INFRA_114,Infrastructure fault on ORD: node unavailable,Infrastructure,2369,SES_000078,REQ_00000113,2026-09-11 09:42:24
EVT_000114,IF_ORD_001,ORD,MFG,MsgBus,Async,Failed,ORD_EXT_115,External service MFG returned an error response,ExternalService,1529,SES_000078,REQ_00000114,2026-09-11 09:42:30
EVT_000115,IF_PRC_001,PRC,MFG,ESB,SOAP,Failed,PRC_CAP_116,Capacity limit reached on PRC: request throttled,Capacity,1138,SES_000079,REQ_00000115,2026-09-12 09:24:54
EVT_000116,IF_ORD_003,ORD,PRC,ESB,SOAP,Failed,ORD_DB_117,Database ORD operation failed: connection pool exhausted,Database,3495,SES_000080,REQ_00000116,2026-09-10 21:42:25
EVT_000117,IF_DLV_001,DLV,ORD,API,REST,Failed,DLV_CFG_118,Configuration mismatch on DLV endpoint,Configuration,1531,SES_000081,REQ_00000117,2026-09-12 16:14:38
EVT_000118,IF_ORD_001,ORD,MFG,MsgBus,Async,Warning,ORD_DB_119,"WARNING: Database ORD operation failed: connection pool exhausted (degraded, retrying)",Database,949,SES_000082,REQ_00000118,2026-09-15 15:08:40
EVT_000119,IF_PAY_001,PAY,ORD,API,REST,Failed,PAY_CFG_120,Configuration mismatch on PAY endpoint,Configuration,425,SES_000083,REQ_00000119,2026-09-15 09:58:18
EVT_000120,IF_ORD_002,ORD,PAY,API,REST,Warning,ORD_TMO_121,"WARNING: Timeout waiting for PAY to respond (degraded, retrying)",Timeout,1950,SES_000084,REQ_00000120,2026-09-14 13:17:53
EVT_000121,IF_ASM_001,ASM,DLV,ESB,Batch,Failed,ASM_EXT_122,External service DLV returned an error response,ExternalService,3656,SES_000085,REQ_00000121,2026-09-16 08:04:09
EVT_000122,IF_ORD_002,ORD,PAY,API,REST,Failed,ORD_AUTH_123,Authentication rejected between ORD and PAY,Authentication,787,SES_000086,REQ_00000122,2026-09-16 12:16:34
EVT_000123,IF_MFG_001,MFG,ASM,MsgBus,Async,Warning,MFG_AUTHZ_124,"WARNING: Authorization denied for MFG->ASM request (degraded, retrying)",Authorization,1548,SES_000087,REQ_00000123,2026-09-10 15:30:01
EVT_000124,IF_ASM_001,ASM,DLV,ESB,Batch,Warning,ASM_DB_125,"WARNING: Database ASM operation failed: connection pool exhausted (degraded, retrying)",Database,3596,SES_000087,REQ_00000124,2026-09-10 15:33:32
EVT_000125,IF_ASM_002,ASM,MFG,API,REST,Warning,ASM_CFG_126,"WARNING: Configuration mismatch on ASM endpoint (degraded, retrying)",Configuration,5041,SES_000087,REQ_00000125,2026-09-10 15:34:15
EVT_000126,IF_PAY_001,PAY,ORD,API,REST,Warning,PAY_INFRA_127,"WARNING: Infrastructure fault on PAY: node unavailable (degraded, retrying)",Infrastructure,806,SES_000088,REQ_00000126,2026-09-15 20:44:34
EVT_000127,IF_MFG_002,MFG,PRC,API,REST,Failed,MFG_TMO_128,Timeout waiting for PRC to respond,Timeout,7218,SES_000089,REQ_00000127,2026-09-14 12:17:02
EVT_000128,IF_PRC_001,PRC,MFG,ESB,SOAP,Warning,PRC_CFG_129,"WARNING: Configuration mismatch on PRC endpoint (degraded, retrying)",Configuration,1611,SES_000089,REQ_00000128,2026-09-14 12:17:35
EVT_000129,IF_PRC_002,PRC,ASM,MsgBus,Async,Warning,PRC_CFG_130,"WARNING: Configuration mismatch on PRC endpoint (degraded, retrying)",Configuration,1220,SES_000089,REQ_00000129,2026-09-14 12:20:56
EVT_000130,IF_ORD_004,ORD,DLV,ESB,Batch,Warning,ORD_CFG_131,"WARNING: Configuration mismatch on ORD endpoint (degraded, retrying)",Configuration,1774,SES_000090,REQ_00000130,2026-09-10 06:21:15
EVT_000131,IF_DLV_002,DLV,PAY,MsgBus,Async,Failed,DLV_CAP_132,Capacity limit reached on DLV: request throttled,Capacity,1208,SES_000090,REQ_00000131,2026-09-10 06:24:05
EVT_000132,IF_ASM_002,ASM,MFG,API,REST,Failed,ASM_DB_133,Database ASM operation failed: connection pool exhausted,Database,2126,SES_000091,REQ_00000132,2026-09-11 21:34:16
EVT_000133,IF_ORD_001,ORD,MFG,MsgBus,Async,Warning,ORD_VAL_134,"WARNING: Validation failed for payload from ORD (degraded, retrying)",Validation,1605,SES_000092,REQ_00000133,2026-09-14 11:11:16
EVT_000134,IF_MFG_003,MFG,DLV,ESB,CDC,Failed,MFG_VAL_135,Validation failed for payload from MFG,Validation,2104,SES_000093,REQ_00000134,2026-09-14 08:32:14
